doc_id,page_idx,image_path,ocr_json_path,num_boxes,avg_score,ocr_text,error,ocr_text_clean,ocr_text_len,ocr_text_clean_len,page_score,page_type,score_reasons,is_strong_low_value,selected_quota
fr3_datasheet,0,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0000.png,/users/xyk/robotdoc-rag/data/ocr/raw_json/fr3_datasheet_page_0000.json,7,0.8798560713018689,"FRANKA ROBOTICS
。
FRANKAROBOTICS
X6
Datasheet
FRANKA
RESEARCH 3",,"FRANKA ROBOTICS
FRANKAROBOTICS
X6
FRANKA
RESEARCH 3",63,51,0.28000000000000014,generic,short;upper_titles=4,False,25.0
fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,/users/xyk/robotdoc-rag/data/ocr/raw_json/fr3_datasheet_page_0001.json,166,0.958941975145629,"Datasheet' Franka Research 3
Document number: R02212
Datasheet' Franka Research 3
Document number: R02212
Arm (Art.No.309969) & Control (Art.No.295341)
Document release version: 2.4 (October 2025)
Arm (Art.No.309969) & Control (Art.No.295341)
Document release version: 2.4 (October 2025)
ARM (v2.1)
SAFETY
Degrees of freedom
7
Interfaces
• Ethernet (TCP/IP) for programming
Rated payload
3kg
and administration via Desk
• safety-rated input for external enabling device
Certification process ongoing
Maximum reach
855mm
Force/Torque sensing
link-side torque sensor in all 7 axes
• safety-rated input for emergency stop
EN ISO 13849-1:2015 safety of machinery -
•2 configurable safety-rated inputs for e.g.,
safety-related parts of control systems
Joint position limits
A1:-166/166 deg
emergency stop devices, safeguards or
A2:-105/105 deg
EN ISO 10218-1:2011 Robots and robotic devices-
other protective devices (OsSD devices via
safety requirements for industrial robotsPart1: Robots
A3:-166/166 deg
external OSSD converter connectable)
A4:-176/-7 deg
• Control connector
A5:-165/165 deg
Collaborative operation modes
• connector for end effector
A6: 25/265 deg
Monitored stop
fully integrated in PL d, Cat 3
A7:-175/175 deg
Hand-guiding
fully integrated in PL d. Cat 3
Joint torque limits
A1-A4: ±87 Nm
Speed and separation monitoring
realizabeombixlu
A5-A7: ±12 Nm
Mechanicalinterface to
DINISO9409-1-A50
Safety Functions
end effector
Emergency Stop (X3.1)
PLd,Cat 3
Installationposition
upright
Weight
External Enabling Device (X4)
PLd,Cat 3
~18.3 kg
Enabling Button
PLd,Cat 3
Ingress protection
IP40
Two configurable safe inputs (X3.2 and X3.3)
+5℃to+45℃
PLd,Cat 3
Ambient temperature 2
SLP-C: Safely limited Cartesian position
Air humidity
20–80%,non-condensing
PLd.Cat 3
note: FCl cannot control the robot while SLP-C is active
SLS-C: Safely limited Cartesian speed
PL d.Cat 3
note: FCI cannot control the robot while SLS-C is active
CONTROL (v5.1)
PERFORMANCE
SLP-J: Safely limited joint angle
PLd.Cat 3
SLS-J: Safely limited joint speed
PLd,Cat 3
Rackmount form factor
19"".355x483x89mm（DxWxH）
Motion
SLD: Safely limited distance
PLd,Cat 3
Supply voltage
100-240VAC
Joint velocity limits
A1-A4: 150 deg/s
SEEPO: Safe End Effector Power off
PLb,Catb
Mains frequency
50-60Hz
A5-A7: 301 deg/s (FCI use, A6: 239 deg/s)
Power consumption
~80W
Cartesian velocity limits
up to 2 m/s at TCP
Stopping Functions
Active power factor correction (PFC)
yes
Position repeatability3
<+/- 0.1 mm (ISO 9283)
Category O stop
PLd,Cat 3
Weight
~7kg
Category 1 stop
PLd,Cat 3
Ingress Protection
IP20
Interaction
Category 2 stop
PLd,Cat 3
Ambient temperature
+5℃to+45℃
Guiding force
~2.5 N
Worst case safe Cartesian position accuracy
50mm
Air humidity
20–80%.non-condensing
Adiustable translational stiffness
10 -3000N/m
for stopping functions
Permitted mounting orientation
horizontal
Adjustable rotational stiffness
1 – 300 Nm/rad
Interfaces
• ethernet (TCP/IP) for internet.
Monitored signals
joint position, velocity,
Safety values according to EN ISO 13849-1
shop-fl oor connection fi eldbuses
torque cartesian position, force
PFH of PL d, Cat 3 safety functions
<1×10⁻7
and 1 kHz Franka Control
(Probability of Failures per Hour)
Interface (FCI)
ADD-ONS
PFH of PL b, Cat b safety functions
<1×10-7
• power connector
Fully integrated end effectors
•2-finger gripper
(Probability of Failures per Hour)
IEC 60320C14 (V-Lock)
·Vacuum gripper
• Arm connector
Fieldbuses
·Modbus/TCP
.OPC UA
1. Technical data are subject to change.
2.For more details see Product Manual Franka Research 3.
3.Based on ISO 9283 (Annex A),specified values refer to aworkspace of 0.4×0.4x 0.4m centered at[0.498,0.0.0.226]m.
with the Z-Axis of the flange oriented parallel to earth-gravity and the elbow positioned upwards.
Copyright © Franka Robotics",,"Datasheet' Franka Research 3
Document number: R02212
Arm (Art.No.309969) & Control (Art.No.295341)
Document release version: 2.4 (October 2025)
ARM (v2.1)
SAFETY
Degrees of freedom
Interfaces
• Ethernet (TCP/IP) for programming
Rated payload
3kg
and administration via Desk
• safety-rated input for external enabling device
Certification process ongoing
Maximum reach
855mm
Force/Torque sensing
link-side torque sensor in all 7 axes
• safety-rated input for emergency stop
EN ISO 13849-1:2015 safety of machinery -
•2 configurable safety-rated inputs for e.g.,
safety-related parts of control systems
Joint position limits
A1:-166/166 deg
emergency stop devices, safeguards or
A2:-105/105 deg
EN ISO 10218-1:2011 Robots and robotic devices-
other protective devices (OsSD devices via
safety requirements for industrial robotsPart1: Robots
A3:-166/166 deg
external OSSD converter connectable)
A4:-176/-7 deg
• Control connector
A5:-165/165 deg
Collaborative operation modes
• connector for end effector
A6: 25/265 deg
Monitored stop
fully integrated in PL d, Cat 3
A7:-175/175 deg
Hand-guiding
fully integrated in PL d. Cat 3
Joint torque limits
A1-A4: ±87 Nm
Speed and separation monitoring
realizabeombixlu
A5-A7: ±12 Nm
Mechanicalinterface to
DINISO9409-1-A50
Safety Functions
end effector
Emergency Stop (X3.1)
PLd,Cat 3
Installationposition
upright
Weight
External Enabling Device (X4)
~18.3 kg
Enabling Button
Ingress protection
IP40
Two configurable safe inputs (X3.2 and X3.3)
+5℃to+45℃
Ambient temperature 2
SLP-C: Safely limited Cartesian position
Air humidity
20–80%,non-condensing
PLd.Cat 3
note: FCl cannot control the robot while SLP-C is active
SLS-C: Safely limited Cartesian speed
PL d.Cat 3
note: FCI cannot control the robot while SLS-C is active
CONTROL (v5.1)
PERFORMANCE
SLP-J: Safely limited joint angle
SLS-J: Safely limited joint speed
Rackmount form factor
19"".355x483x89mm（DxWxH）
Motion
SLD: Safely limited distance
Supply voltage
100-240VAC
Joint velocity limits
A1-A4: 150 deg/s
SEEPO: Safe End Effector Power off
PLb,Catb
Mains frequency
50-60Hz
A5-A7: 301 deg/s (FCI use, A6: 239 deg/s)
Power consumption
~80W
Cartesian velocity limits
up to 2 m/s at TCP
Stopping Functions
Active power factor correction (PFC)
yes
Position repeatability3
<+/- 0.1 mm (ISO 9283)
Category O stop
~7kg
Category 1 stop
IP20
Interaction
Category 2 stop
Ambient temperature
Guiding force
~2.5 N
Worst case safe Cartesian position accuracy
50mm
20–80%.non-condensing
Adiustable translational stiffness
10 -3000N/m
for stopping functions
Permitted mounting orientation
horizontal
Adjustable rotational stiffness
1 – 300 Nm/rad
• ethernet (TCP/IP) for internet.
Monitored signals
joint position, velocity,
Safety values according to EN ISO 13849-1
shop-fl oor connection fi eldbuses
torque cartesian position, force
PFH of PL d, Cat 3 safety functions
<1×10⁻7
and 1 kHz Franka Control
(Probability of Failures per Hour)
Interface (FCI)
ADD-ONS
PFH of PL b, Cat b safety functions
<1×10-7
• power connector
Fully integrated end effectors
•2-finger gripper
IEC 60320C14 (V-Lock)
·Vacuum gripper
• Arm connector
Fieldbuses
·Modbus/TCP
.OPC UA
1. Technical data are subject to change.
2.For more details see Product Manual Franka Research 3.
3.Based on ISO 9283 (Annex A),specified values refer to aworkspace of 0.4×0.4x 0.4m centered at[0.498,0.0.0.226]m.
with the Z-Axis of the flange oriented parallel to earth-gravity and the elbow positioned upwards.
Copyright © Franka Robotics",3815,3484,21.699999999999996,layout,"good_length;dense_boxes;very_dense_boxes;unit_hits=23;number_hits=85;bullet_hits=12;high_value=workspace,payload,reach,joint;low_value=copyright;upper_titles=1",False,25.0
fr3_datasheet,2,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0002.png,/users/xyk/robotdoc-rag/data/ocr/raw_json/fr3_datasheet_page_0002.json,52,0.9073342285477198,"Datasheet' Franka Research 3
Document number: R02212
Arm (Art. No.309969) & Control (Art.No.295341)
Document release version: 2.4 (October 2025)
DIMENSIONS& WORKSPACE
82
384
88
A5
A6
82
107
D
A4
A7
。
Y
X
A3
Alignment axis 7 without end effector
316
Z
L
A2
Z
333
A1
X
>
x
Y
Axes names with link distances [mm]
Alignment axis 7 with Franka Hand
855
855
EE SI
1188
iR805
reach with flange//to base
333
©
:
ISO CUBE
R855
max reach of flange
362
365
280
280
Workspace | side view[mm]
Workspace |top view[mm]
Copyright © Franka Robotics",,"Datasheet' Franka Research 3
Document number: R02212
Arm (Art. No.309969) & Control (Art.No.295341)
Document release version: 2.4 (October 2025)
DIMENSIONS& WORKSPACE
A5
A6
A4
A7
A3
Alignment axis 7 without end effector
A2
A1
Axes names with link distances [mm]
Alignment axis 7 with Franka Hand
EE SI
iR805
reach with flange//to base
ISO CUBE
R855
max reach of flange
Workspace | side view[mm]
Workspace |top view[mm]
Copyright © Franka Robotics",530,446,15.06,layout,"good_length;dense_boxes;very_dense_boxes;number_hits=7;high_value=dimension,dimensions,workspace,reach;low_value=copyright;upper_titles=1",False,25.0
fr3_operating_manual,0,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0000.png,/users/xyk/robotdoc-rag/data/ocr/raw_json/fr3_operating_manual_page_0000.json,42,0.8123102739808106,"FRANKA ROBOTICS
OPC UA
国
FRANKA ROBOTICS
Pilot Mode
SHOW ME HOW TO PICK
X
CONFICURE MOTION
CRASP
OBJECT MASS
APP SPEED
Guiding Mode
Select your desired motion
Crne
Pick
Pick and Retract
C
B
B
Joints
End-Effector
Appeoah and Piek
Approach,Pick and Retract
日
6
Robot Status
C
C
C
.…*
OFF
Continue
Robot not o
Safety Scenario
Idle
Operations
Programming
Execution
TEST YOUR TASK
Operating Manual
FRANKA
RESEARCH 3",,"FRANKA ROBOTICS
OPC UA
Pilot Mode
SHOW ME HOW TO PICK
CONFICURE MOTION
CRASP
OBJECT MASS
APP SPEED
Guiding Mode
Select your desired motion
Crne
Pick
Pick and Retract
Joints
End-Effector
Appeoah and Piek
Approach,Pick and Retract
Robot Status
OFF
Continue
Robot not o
Safety Scenario
Operations
Programming
Execution
TEST YOUR TASK
Operating Manual
FRANKA
RESEARCH 3",410,365,16.88,semantic,"good_length;dense_boxes;very_dense_boxes;high_value=joint,io,mass,speed;upper_titles=6",False,50.0
fr3_operating_manual,2,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0002.png,/users/xyk/robotdoc-rag/data/ocr/raw_json/fr3_operating_manual_page_0002.json,112,0.9798743905277428,"TABLE OF CONTENTS
TABLE OF CONTENTS
TABLE OF CONTENTS
3
1
ABOUT THIS MANUAL
7
1.1
1.1 Software and hardware version
.7
1.2
1.2 Applicable document
.7
2
SAFETY INSTRUCTIONS AND GENERAL INDICATIONS
8
3
GETTING STARTED
9
3.1
Initial setup.
.9
3.1.1
Connecting a user interface device
.9
3.1.2
Hardware recommendation
.9
3.1.3
Procedure..
.9
3.1.4
Initial configuration— ""First Start""
..10
3.2
Unexpected motions during guiding
.14
3.3
Falling objects during installation.
.14
3.4
End effector configuration.
.14
4
TYPICAL USAGES
.15
5
WORKING WITH FRANKA RESEARCH 3
.16
5.1
Robotic basics.
.16
5.2
Single point of control (SPoC)
.17
5.2.1
Take control..
.17
5.2.2
Request control.
.18
5.2.3
Enforce control.
.19
5.2.4
Release control.
..20
5.2.5
Fieldbus control.
.20
5.3
Operating modes..
.21
5.3.1
Programming..
..22
5.3.2
Execution
.23
5.4
Apps..
.28
5.5
Creating a Task.
..28
5.6
Task settings ..
.29
5.7
Parameterization of Aps
..29
5.8
Pose teaching
.31
5.9
Pose fine adjustment.
.32
5.10
Guiding configurations.
.32
5.11
Necessary guiding components
.34
5.12
Guiding..
..35
R02216/1.0/EN
Franka Robotics GmbH ©
3",,"TABLE OF CONTENTS
ABOUT THIS MANUAL
1.1
1.1 Software and hardware version
.7
1.2
1.2 Applicable document
SAFETY INSTRUCTIONS AND GENERAL INDICATIONS
GETTING STARTED
3.1
Initial setup.
.9
3.1.1
Connecting a user interface device
3.1.2
Hardware recommendation
3.1.3
Procedure..
3.1.4
Initial configuration— ""First Start""
..10
3.2
Unexpected motions during guiding
.14
3.3
Falling objects during installation.
3.4
End effector configuration.
TYPICAL USAGES
.15
.16
5.1
Robotic basics.
5.2
Single point of control (SPoC)
.17
5.2.1
Take control..
5.2.2
Request control.
.18
5.2.3
Enforce control.
.19
5.2.4
Release control.
..20
5.2.5
Fieldbus control.
.20
5.3
Operating modes..
.21
5.3.1
Programming..
..22
5.3.2
Execution
.23
5.4
Apps..
.28
5.5
Creating a Task.
..28
5.6
Task settings ..
.29
5.7
Parameterization of Aps
..29
5.8
Pose teaching
.31
5.9
Pose fine adjustment.
.32
5.10
Guiding configurations.
5.11
Necessary guiding components
.34
5.12
Guiding..
..35",1116,960,15.399999999999999,semantic,"good_length;dense_boxes;very_dense_boxes;number_hits=64;high_value=force,interface,io,installation;low_value=table of contents,contents;upper_titles=3",False,50.0
fr3_operating_manual,6,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0006.png,/users/xyk/robotdoc-rag/data/ocr/raw_json/fr3_operating_manual_page_0006.json,25,0.9702711009979248,"ABOUT THIS MANUAL
1 ABOUT THIS MANUAL
This operating manual gives the information that you need to operate and handle the Franka Research 3 (FR3) robot
system in a safe and correct way.
This manual includes:
Instructions for the initial setup
Information about hardware and software configuration
Descriptions of typical use cases
Instructions to use the Franka Ul, apps, and the Franka Control Interface (FCI)
Safety instructions
Managing apps and updates
Troubleshooting steps
Advanced configuration procedures
Use this manual during installation, operation, and maintenance of the FR3 robot system.
1.1Software and hardware version
This manual applies to system image version 5.6.0.
This version is compatible with all versions of the FR3 robot.
1.2Applicable document
In addition to this manual, the following document also applies:
Hardware Manual: Franka Research 3 with Arm v2.0.
Hardware Manual: Franka Research 3 with Arm v1.
Document number: R02210
R02216/1.0/EN
Franka Robotics GmbH ©
7",,"ABOUT THIS MANUAL
1 ABOUT THIS MANUAL
This operating manual gives the information that you need to operate and handle the Franka Research 3 (FR3) robot
system in a safe and correct way.
This manual includes:
Instructions for the initial setup
Information about hardware and software configuration
Descriptions of typical use cases
Instructions to use the Franka Ul, apps, and the Franka Control Interface (FCI)
Safety instructions
Managing apps and updates
Troubleshooting steps
Advanced configuration procedures
Use this manual during installation, operation, and maintenance of the FR3 robot system.
1.1Software and hardware version
This manual applies to system image version 5.6.0.
This version is compatible with all versions of the FR3 robot.
1.2Applicable document
In addition to this manual, the following document also applies:
Hardware Manual: Franka Research 3 with Arm v2.0.
Hardware Manual: Franka Research 3 with Arm v1.
Document number: R02210",997,958,17.12,semantic,"good_length;dense_boxes;very_dense_boxes;number_hits=9;high_value=interface,io,installation,cable;upper_titles=2",False,50.0
fr3_operating_manual,8,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0008.png,/users/xyk/robotdoc-rag/data/ocr/raw_json/fr3_operating_manual_page_0008.json,34,0.9688699718783884,"GETTING STARTED
Indications
i
Indicates where further information can be obtained.
Franka Research 3 is equipped with a comprehensive safety system designed to meet application-specific requirements
and international safety standards. For an overview of the system architecture, safety functions, and configuration using
the Watchman tool, please refer to the chapter 10 titled ""Safety Concept"" in this Manual.
For additional safety measures and potential hazards,refer to Chapter 4""Safety"" in the respective Hardware Manual (i.e
Franka Research 3 Arm v1 or Franka Research 3 Arm v2).
3 GETTING STARTED
3.1 Initial setup
3.1.1 Connecting a user interface device
An external operating device in the form of a PC, laptop, or tablet is required to operate and control the robot.
3.1.2 Hardware recommendation
Commercially available PC, laptop, or tablet
Ethernet interface
Resolution: minimum 1280x720px, recommended Full HD (1920x1080 px)
Multitouch function (if using a tablet)
Recommended browsers: Chrome, Edge, Safari, or Firefx
3.1.3 Procedure
1. Connect the interface device to the X5 connector on the Arm base via Ethernet cable to open the initial
configuration interface.
NOTICE
For more information,please refer to chapter7 section7.6 Wiring and Electrical Installation in the respective
Hardware Manual (i.e. Franka Research 3 Arm v1 or Franka Research 3 Arm v2).
2. Ensure your interface device has DHCP client activated to automatically obtain the IP address.
The IP address will be assigned once Franka Research 3 is powered on.
3. Open your preferred web browser.
4. Enter the following URL: robot.franka.de
5. Press **Enter**.
The website showing the Franka Ul opens up.
R02216/1.0/EN
Franka Robotics GmbH ©
9",,"GETTING STARTED
Indications
Indicates where further information can be obtained.
Franka Research 3 is equipped with a comprehensive safety system designed to meet application-specific requirements
and international safety standards. For an overview of the system architecture, safety functions, and configuration using
the Watchman tool, please refer to the chapter 10 titled ""Safety Concept"" in this Manual.
For additional safety measures and potential hazards,refer to Chapter 4""Safety"" in the respective Hardware Manual (i.e
Franka Research 3 Arm v1 or Franka Research 3 Arm v2).
3 GETTING STARTED
3.1 Initial setup
3.1.1 Connecting a user interface device
An external operating device in the form of a PC, laptop, or tablet is required to operate and control the robot.
3.1.2 Hardware recommendation
Commercially available PC, laptop, or tablet
Ethernet interface
Resolution: minimum 1280x720px, recommended Full HD (1920x1080 px)
Multitouch function (if using a tablet)
Recommended browsers: Chrome, Edge, Safari, or Firefx
3.1.3 Procedure
1. Connect the interface device to the X5 connector on the Arm base via Ethernet cable to open the initial
configuration interface.
For more information,please refer to chapter7 section7.6 Wiring and Electrical Installation in the respective
Hardware Manual (i.e. Franka Research 3 Arm v1 or Franka Research 3 Arm v2).
2. Ensure your interface device has DHCP client activated to automatically obtain the IP address.
The IP address will be assigned once Franka Research 3 is powered on.
3. Open your preferred web browser.
4. Enter the following URL: robot.franka.de
5. Press **Enter**.
The website showing the Franka Ul opens up.",1723,1675,17.599999999999998,semantic,"good_length;dense_boxes;very_dense_boxes;number_hits=22;high_value=interface,connector,ethernet,io;upper_titles=1",False,50.0
fr3_operating_manual,9,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0009.png,/users/xyk/robotdoc-rag/data/ocr/raw_json/fr3_operating_manual_page_0009.json,70,0.8172989686684949,"GETTING STARTED
3.1.4 Initial configuration - ""First Start""
After starting the Control for the first time, basic system settings must be configured.
This configuration is displayed in the web browser and also appears after resetting the Control to factory settings.
1.
Start Franka Research 3.
2.
Enter the following URL: robot.franka.de
5
The ""First Start"" web interface of the Franka Ul opens with the language selection of the system interface.
7
EN-Engisth
A
NA
NA
Select Language
Network
Select the langage you woudlike touse
Franka World
EN-ENGLISH
User
End-Emector
NEXT
Figure 1: language selection initial configuration
3.Click on the area where the IP address of the robot is shown in the menu bar to download the manual. Be sure
to read it carefully.
4.Select the desired language for the Franka Ul interface. Click on ,NEXT""
S
The page for setting the network connection is opened.
2
®
DE-Deutsch
Lanoee
0
Scrum right-IP 1.45
192.168.1.45
Language
X5-Robot network
C2-Shop Floor network
Network
Densthndteaof
theDHCPserver ruing atthe robtapos
DHCP Client
Franka Worid
base network interfaceThenetwork is fxed to a
24bit network mask and the DHCP server assigns
Current network status
User
IPaddresseswithlastoctetsintherange of 100-
150.
I192.168.1.45
Netask 255.255.252.0
End-Effector
serve IPadresses 192.16.1.100-150wie all
Forexame 192.16811widhaethero
192.168.1xiaddressescanreach it
Franka World connection status
Connection
192
160
。
:.1
Back
NEXT
Figure 2: Network
On this page, the network connections of the internal robot network and those of the Internet connection or
connection to a company network can be configured.
R02216/1.0/EN
Franka Robotics GmbH ©
10",,"GETTING STARTED
3.1.4 Initial configuration - ""First Start""
After starting the Control for the first time, basic system settings must be configured.
This configuration is displayed in the web browser and also appears after resetting the Control to factory settings.
Start Franka Research 3.
Enter the following URL: robot.franka.de
The ""First Start"" web interface of the Franka Ul opens with the language selection of the system interface.
EN-Engisth
NA
Select Language
Select the langage you woudlike touse
Franka World
User
End-Emector
NEXT
Figure 1: language selection initial configuration
3.Click on the area where the IP address of the robot is shown in the menu bar to download the manual. Be sure
to read it carefully.
4.Select the desired language for the Franka Ul interface. Click on ,NEXT""
The page for setting the network connection is opened.
DE-Deutsch
Lanoee
Scrum right-IP 1.45
192.168.1.45
X5-Robot network
C2-Shop Floor network
Densthndteaof
theDHCPserver ruing atthe robtapos
DHCP Client
Franka Worid
base network interfaceThenetwork is fxed to a
24bit network mask and the DHCP server assigns
Current network status
IPaddresseswithlastoctetsintherange of 100-
150.
I192.168.1.45
Netask 255.255.252.0
End-Effector
serve IPadresses 192.16.1.100-150wie all
Forexame 192.16811widhaethero
192.168.1xiaddressescanreach it
Franka World connection status
Connection
:.1
Back
Figure 2: Network
On this page, the network connections of the internal robot network and those of the Internet connection or
connection to a company network can be configured.",1683,1564,16.4,fact,"good_length;dense_boxes;very_dense_boxes;number_hits=21;high_value=reach,interface,io,current;upper_titles=1",False,50.0
fr3_operating_manual,12,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0012.png,/users/xyk/robotdoc-rag/data/ocr/raw_json/fr3_operating_manual_page_0012.json,34,0.9694654275389278,"GETTING STARTED
WARNING
Unexpected motions during guiding due to incorrectly configured end effectors
Incorrectly configured end effector mass and inertia may lead to not entirely compensated
gravitational forces. The resulting and unexpected behavior of the robot including end effector may
lead to injuries such as crushing, tearing of the skin, and puncturing.
Always check the configuration of the end effector.
When copying an already parametrized App or Task to another Franka Research 3 system,
ensure that the end effector configuration remains identical to the original one.
CAUTION
Falling objects from end effectors during initial installation
Objects falling from the gripper lead to injuries to hands,fingers, feet, and toes.
Always wear personal protective equipment (e.g., safety shoes).
Use the appropriate type of grippers to prevent objects from falling.
Consider the shape, texture, and weight of the grasped objects in the risk assessment
according to 10218-2. Using lightweight and/or round objects may reduce risks significantly.
Do not place your hands between grasped and solid objects (e.g., table).
Do not load the end effector before start-up, since depending on the installed end effector, the
'homing' motions may be executed automatically upon restoration of power.
10. Configure which end effector is used on the robot.
If you do not have an end effector mounted, select **None** from the drop-down menu. .
If you have mounted Franka Hand as an end effector, select **Hand** from the drop-down menu.
NOTICE
Franka Hand is not part of the certified robot.
If you want to use another end effector or adjust the configuration of the Hand, select ""User Defined"" from the dropdown
and enter the corresponding values into the text fields. The appropriate values are usually found in the end effector's
manual.
NOTICE
You will be able to reedit the end effector settings later on.
11. Confirm the entries by clicking on ""Confirm"". The initial configuration is thus completed and confirmed, and a
final preparation step is performed.
R02216/1.0/EN
Franka Robotics GmbH ©
13",,"GETTING STARTED
Unexpected motions during guiding due to incorrectly configured end effectors
Incorrectly configured end effector mass and inertia may lead to not entirely compensated
gravitational forces. The resulting and unexpected behavior of the robot including end effector may
lead to injuries such as crushing, tearing of the skin, and puncturing.
Always check the configuration of the end effector.
When copying an already parametrized App or Task to another Franka Research 3 system,
ensure that the end effector configuration remains identical to the original one.
CAUTION
Falling objects from end effectors during initial installation
Objects falling from the gripper lead to injuries to hands,fingers, feet, and toes.
Always wear personal protective equipment (e.g., safety shoes).
Use the appropriate type of grippers to prevent objects from falling.
Consider the shape, texture, and weight of the grasped objects in the risk assessment
according to 10218-2. Using lightweight and/or round objects may reduce risks significantly.
Do not place your hands between grasped and solid objects (e.g., table).
Do not load the end effector before start-up, since depending on the installed end effector, the
'homing' motions may be executed automatically upon restoration of power.
10. Configure which end effector is used on the robot.
If you do not have an end effector mounted, select **None** from the drop-down menu. .
If you have mounted Franka Hand as an end effector, select **Hand** from the drop-down menu.
Franka Hand is not part of the certified robot.
If you want to use another end effector or adjust the configuration of the Hand, select ""User Defined"" from the dropdown
and enter the corresponding values into the text fields. The appropriate values are usually found in the end effector's
manual.
You will be able to reedit the end effector settings later on.
11. Confirm the entries by clicking on ""Confirm"". The initial configuration is thus completed and confirmed, and a
final preparation step is performed.",2096,2034,16.4,semantic,"good_length;dense_boxes;very_dense_boxes;number_hits=5;high_value=force,io,power,weight;upper_titles=1",False,50.0
fr3_operating_manual,13,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0013.png,/users/xyk/robotdoc-rag/data/ocr/raw_json/fr3_operating_manual_page_0013.json,28,0.91673835819321,"GETTING STARTED
S
The programming interface DESK is displayed in the web browser and the status display on the Arm lights
up permanently in blue.
3.2Unexpected motions during guiding
Incorrectly configured end effector mass/inertia may lead to unexpected robot behavior and injuries.
Always check end effector configuration.
Ensure configuration consistency when copying Apps/Tasks between systems.
3.3
Falling objects during installation
Objects falling from the gripper may cause injuries.
Wear personal protective equipment (e.g., safety shoes).
Use appropriate grippers.
Consider object shape, texture, and weight in risk assessment.
Avoid placing hands between grasped and solid objects.
Do not load the end effector before start-up.
3.4
End effector configuration
If no end effector is mounted, select **None**.
If Franka Hand is mounted, select **Hand**.
For other end effectors, select **User Defined** and enter yalues from the manual
NOTICE
Franka Hand is not part of the certified robot.
●
You can re-edit end effector settings later.
R02216/1.0/EN
Franka Robotics GmbH ©
14",,"GETTING STARTED
The programming interface DESK is displayed in the web browser and the status display on the Arm lights
up permanently in blue.
3.2Unexpected motions during guiding
Incorrectly configured end effector mass/inertia may lead to unexpected robot behavior and injuries.
Always check end effector configuration.
Ensure configuration consistency when copying Apps/Tasks between systems.
3.3
Falling objects during installation
Objects falling from the gripper may cause injuries.
Wear personal protective equipment (e.g., safety shoes).
Use appropriate grippers.
Consider object shape, texture, and weight in risk assessment.
Avoid placing hands between grasped and solid objects.
Do not load the end effector before start-up.
3.4
End effector configuration
If no end effector is mounted, select **None**.
If Franka Hand is mounted, select **Hand**.
For other end effectors, select **User Defined** and enter yalues from the manual
Franka Hand is not part of the certified robot.
You can re-edit end effector settings later.",1085,1034,16.24,semantic,"good_length;dense_boxes;very_dense_boxes;high_value=interface,io,weight,mass;upper_titles=1",False,50.0
