sample_id,query_id,query_en,query_zh,query_type,pos_doc_id,pos_page_idx,pos_image_path,neg_doc_id,neg_page_idx,neg_image_path,neg_source
auto_00041_bm25,auto_00041,Which page contains the specification value 1 s?,哪一页包含参数值 1 s？,fact,fr3_operating_manual,37,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0037.png,kinova_gen3_user_guide,147,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0147.png,bm25_hard
auto_00041_adjacent_prev,auto_00041,Which page contains the specification value 1 s?,哪一页包含参数值 1 s？,fact,fr3_operating_manual,37,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0037.png,fr3_operating_manual,36,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0036.png,adjacent_prev
auto_00041_same_doc_far,auto_00041,Which page contains the specification value 1 s?,哪一页包含参数值 1 s？,fact,fr3_operating_manual,37,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0037.png,fr3_operating_manual,121,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0121.png,same_doc_far
auto_00116_bm25,auto_00116,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,3,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0003.png,kinova_gen3_user_guide,152,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0152.png,bm25_hard
auto_00116_adjacent_prev,auto_00116,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,3,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0003.png,fr3_product_manual,2,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0002.png,adjacent_prev
auto_00116_same_doc_far,auto_00116,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,3,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0003.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00121_bm25,auto_00121,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,6,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0006.png,fr3_product_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0051.png,bm25_hard
auto_00121_adjacent_prev,auto_00121,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,6,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0006.png,fr3_product_manual,5,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0005.png,adjacent_prev
auto_00121_same_doc_far,auto_00121,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,6,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0006.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00123_bm25,auto_00123,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,18,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0018.png,kinova_gen3_user_guide,152,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0152.png,bm25_hard
auto_00123_adjacent_prev,auto_00123,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,18,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0018.png,fr3_product_manual,17,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0017.png,adjacent_prev
auto_00123_same_doc_far,auto_00123,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,18,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0018.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00125_bm25,auto_00125,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,kinova_gen3_user_guide,152,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0152.png,bm25_hard
auto_00125_adjacent_prev,auto_00125,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,fr3_product_manual,19,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0019.png,adjacent_prev
auto_00125_same_doc_far,auto_00125,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00127_bm25,auto_00127,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,21,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0021.png,kinova_gen3_user_guide,152,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0152.png,bm25_hard
auto_00127_adjacent_prev,auto_00127,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,21,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0021.png,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,adjacent_prev
auto_00127_same_doc_far,auto_00127,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,21,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0021.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00130_bm25,auto_00130,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,22,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0022.png,fr3_product_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0051.png,bm25_hard
auto_00130_adjacent_prev,auto_00130,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,22,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0022.png,fr3_product_manual,21,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0021.png,adjacent_prev
auto_00130_same_doc_far,auto_00130,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,22,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0022.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00132_bm25,auto_00132,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,23,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0023.png,kinova_gen3_user_guide,152,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0152.png,bm25_hard
auto_00132_adjacent_prev,auto_00132,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,23,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0023.png,fr3_product_manual,22,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0022.png,adjacent_prev
auto_00132_same_doc_far,auto_00132,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,23,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0023.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00137_bm25,auto_00137,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,28,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0028.png,fr3_product_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0051.png,bm25_hard
