query_id,doc_id,page_idx,page_type,query_zh,query_en,query_source,anchor_heading,ocr_text_clean_len,page_score
auto_00024,fr3_operating_manual,15,fact,哪一页介绍了“5 WORKING WITH FRANKA RESEARCH 3”相关内容？,Which page discusses '5 WORKING WITH FRANKA RESEARCH 3'?,fact_heading,5 WORKING WITH FRANKA RESEARCH 3,3430,16.56
auto_00027,fr3_operating_manual,16,fact,"哪一页介绍了“can then be used, for example, to stop t”相关内容？","Which page discusses 'can then be used, for example, to stop t'?",fact_heading,"can then be used, for example, to stop the movement of the robot.",1432,16.0
auto_00029,fr3_operating_manual,27,layout,哪一页展示了“Exiting the Assist Mode:”的图示页面？,Which page visually presents 'Exiting the Assist Mode:'?,layout_heading,Exiting the Assist Mode:,1614,15.68
auto_00036,fr3_operating_manual,33,layout,哪一页展示了“Guiding Mode”的图示页面？,Which page visually presents 'Guiding Mode'?,layout_heading,Guiding Mode,1069,16.16
auto_00041,fr3_operating_manual,37,fact,哪一页包含参数值 1 s？,Which page contains the specification value 1 s?,fact_number_unit,FRANKA UI,1068,15.48
auto_00060,fr3_operating_manual,51,fact,哪一页介绍了“MANAGINGFRANKARESEARCH 3”相关内容？,Which page discusses 'MANAGINGFRANKARESEARCH 3'?,fact_heading,MANAGINGFRANKARESEARCH 3,1500,17.36
auto_00066,fr3_operating_manual,61,layout,哪一页展示了“9.1.10”的图示页面？,Which page visually presents '9.1.10'?,layout_heading,9.1.10,1425,16.88
auto_00069,fr3_operating_manual,62,fact,哪一页介绍了“Estimation of externally applied torques”相关内容？,Which page discusses 'Estimation of externally applied torques'?,fact_heading,Estimation of externally applied torques and forces.,2185,16.08
auto_00072,fr3_operating_manual,67,fact,哪一页介绍了“10.3.3”相关内容？,Which page discusses '10.3.3'?,fact_heading,10.3.3,1440,17.2
auto_00077,fr3_operating_manual,76,fact,哪一页介绍了“depend on previous operation and ambient”相关内容？,Which page discusses 'depend on previous operation and ambient'?,fact_heading,depend on previous operation and ambient temperatures.,2059,16.56
auto_00097,fr3_operating_manual,92,layout,哪一页展示了“Description: Free editable description o”的图示页面？,Which page visually presents 'Description: Free editable description o'?,layout_heading,Description: Free editable description of the end effector,1913,16.959999999999997
auto_00104,fr3_operating_manual,102,layout,哪一页展示了“now displayed in green and shows the val”的图示页面？,Which page visually presents 'now displayed in green and shows the val'?,layout_heading,now displayed in green and shows the validated state.,1914,16.4
auto_00109,fr3_operating_manual,107,fact,哪一页介绍了“SERVICE AND SUPPORT”相关内容？,Which page discusses 'SERVICE AND SUPPORT'?,fact_heading,SERVICE AND SUPPORT,2166,16.88
auto_00116,fr3_product_manual,3,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,10.2,1259,17.2
auto_00117,fr3_product_manual,3,layout,哪一页展示了“10.2”的图示页面？,Which page visually presents '10.2'?,layout_heading,10.2,1259,17.2
auto_00121,fr3_product_manual,6,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,ABOUT FRANKA ROBOTICS,1673,15.84
auto_00123,fr3_product_manual,18,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,DANGER,1799,16.16
auto_00124,fr3_product_manual,18,layout,哪一页展示了“DANGER”的图示页面？,Which page visually presents 'DANGER'?,layout_heading,DANGER,1799,16.16
auto_00125,fr3_product_manual,20,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,Unexpected motion,1927,16.72
auto_00126,fr3_product_manual,20,layout,哪一页展示了“Unexpected motion”的图示页面？,Which page visually presents 'Unexpected motion'?,layout_heading,Unexpected motion,1927,16.72
auto_00127,fr3_product_manual,21,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,Unexpected movement of Arm,1844,17.4
auto_00128,fr3_product_manual,21,layout,哪一页展示了“Unexpected movement of Arm”的图示页面？,Which page visually presents 'Unexpected movement of Arm'?,layout_heading,Unexpected movement of Arm,1844,17.4
auto_00130,fr3_product_manual,22,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,SAFETY-,1370,17.28
auto_00132,fr3_product_manual,23,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,Stopping time and distance,1968,15.92
auto_00133,fr3_product_manual,23,layout,哪一页展示了“Stopping time and distance”的图示页面？,Which page visually presents 'Stopping time and distance'?,layout_heading,Stopping time and distance,1968,15.92
auto_00137,fr3_product_manual,28,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,4.11 Safety Functionalities,2426,17.4
auto_00146,fr3_product_manual,39,semantic,这页主要讲的是哪方面的组成部件内容？,What components topic is mainly explained on this page?,semantic_topic,Equipment Overview,258,15.76
auto_00152,fr3_product_manual,45,layout,哪一页展示了“Equipment Overview”的图示页面？,Which page visually presents 'Equipment Overview'?,layout_heading,Equipment Overview,836,19.88
auto_00156,fr3_product_manual,49,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,TECHNICAL SPECIFICATIONS,1992,23.6
auto_00158,fr3_product_manual,49,layout,哪一页展示了“TECHNICAL SPECIFICATIONS”的图示页面？,Which page visually presents 'TECHNICAL SPECIFICATIONS'?,layout_heading,TECHNICAL SPECIFICATIONS,1992,23.6
