sample_id,query_id,query_en,query_zh,query_type,pos_doc_id,pos_page_idx,pos_image_path,neg_doc_id,neg_page_idx,neg_image_path,neg_source
q001_bm25,q001,maximum reach 855 mm,FR3的最大工作半径是多少,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,fr3_product_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0051.png,bm25_hard
q001_vision,q001,maximum reach 855 mm,FR3的最大工作半径是多少,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,ur5e_user_manual,16,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0016.png,vision_hard
q001_adjacent_prev,q001,maximum reach 855 mm,FR3的最大工作半径是多少,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,fr3_datasheet,0,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0000.png,adjacent_prev
q002_bm25,q002,rated payload 3kg,FR3的额定负载是多少,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,ur5e_user_manual,95,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0095.png,bm25_hard
q002_vision,q002,rated payload 3kg,FR3的额定负载是多少,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,ur5e_user_manual,52,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0052.png,vision_hard
q002_adjacent_prev,q002,rated payload 3kg,FR3的额定负载是多少,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,fr3_datasheet,0,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0000.png,adjacent_prev
q003_bm25,q003,degrees of freedom 7,FR3有几个自由度,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,kinova_gen3_user_guide,18,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0018.png,bm25_hard
q003_vision,q003,degrees of freedom 7,FR3有几个自由度,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,fr3_product_manual,49,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0049.png,vision_hard
q003_adjacent_prev,q003,degrees of freedom 7,FR3有几个自由度,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,fr3_datasheet,0,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0000.png,adjacent_prev
q004_bm25,q004,force torque sensing,FR3是否支持力/力矩感知,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,fr3_product_manual,49,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0049.png,bm25_hard
q004_vision,q004,force torque sensing,FR3是否支持力/力矩感知,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,kinova_gen3_user_guide,71,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0071.png,vision_hard
q004_adjacent_prev,q004,force torque sensing,FR3是否支持力/力矩感知,fact,fr3_datasheet,1,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,fr3_datasheet,0,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0000.png,adjacent_prev
q005_bm25,q005,workspace diagram,FR3工作空间示意图在哪一页,layout,fr3_product_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0051.png,kinova_gen3_user_guide,72,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0072.png,bm25_hard
q005_vision,q005,workspace diagram,FR3工作空间示意图在哪一页,layout,fr3_product_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0051.png,intel_realsense_d400_datasheet,103,/users/xyk/robotdoc-rag/data/pages/intel_realsense_d400_datasheet/page_0103.png,vision_hard
q005_adjacent_prev,q005,workspace diagram,FR3工作空间示意图在哪一页,layout,fr3_product_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0051.png,fr3_product_manual,50,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0050.png,adjacent_prev
q006_bm25,q006,maximum payload,UR5e最大负载相关页面,semantic,ur5e_user_manual,95,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0095.png,robotiq_hande_manual,118,/users/xyk/robotdoc-rag/data/pages/robotiq_hande_manual/page_0118.png,bm25_hard
q006_vision,q006,maximum payload,UR5e最大负载相关页面,semantic,ur5e_user_manual,95,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0095.png,ur5e_user_manual,218,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0218.png,vision_hard
q006_adjacent_prev,q006,maximum payload,UR5e最大负载相关页面,semantic,ur5e_user_manual,95,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0095.png,ur5e_user_manual,94,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0094.png,adjacent_prev
q007_bm25,q007,emergency stop,UR5e紧急停止目录定位页,navigation,ur5e_user_manual,7,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0007.png,ur5e_user_manual,183,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0183.png,bm25_hard
q007_adjacent_prev,q007,emergency stop,UR5e紧急停止目录定位页,navigation,ur5e_user_manual,7,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0007.png,ur5e_user_manual,6,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0006.png,adjacent_prev
q008_bm25,q008,declaration of incorporation,UR5e合格声明页面,navigation,ur5e_user_manual,221,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0221.png,ur5e_user_manual,220,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0220.png,bm25_hard
q009_bm25,q009,7 dof dimensions,Kinova Gen3七自由度尺寸图页面,layout,kinova_gen3_user_guide,66,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0066.png,kinova_gen3_user_guide,67,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0067.png,bm25_hard
