sample_id,query_id,query_en,query_zh,query_type,pos_doc_id,pos_page_idx,pos_image_path,neg_doc_id,neg_page_idx,neg_image_path,neg_source
auto_00024_bm25,auto_00024,Which page discusses '5 WORKING WITH FRANKA RESEARCH 3'?,哪一页介绍了“5 WORKING WITH FRANKA RESEARCH 3”相关内容？,fact,fr3_operating_manual,15,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0015.png,fr3_product_manual,16,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0016.png,bm25_hard
auto_00024_adjacent_prev,auto_00024,Which page discusses '5 WORKING WITH FRANKA RESEARCH 3'?,哪一页介绍了“5 WORKING WITH FRANKA RESEARCH 3”相关内容？,fact,fr3_operating_manual,15,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0015.png,fr3_operating_manual,14,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0014.png,adjacent_prev
auto_00024_same_doc_far,auto_00024,Which page discusses '5 WORKING WITH FRANKA RESEARCH 3'?,哪一页介绍了“5 WORKING WITH FRANKA RESEARCH 3”相关内容？,fact,fr3_operating_manual,15,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0015.png,fr3_operating_manual,121,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0121.png,same_doc_far
auto_00027_bm25,auto_00027,"Which page discusses 'can then be used, for example, to stop t'?","哪一页介绍了“can then be used, for example, to stop t”相关内容？",fact,fr3_operating_manual,16,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0016.png,ur5e_user_manual,176,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0176.png,bm25_hard
auto_00027_adjacent_prev,auto_00027,"Which page discusses 'can then be used, for example, to stop t'?","哪一页介绍了“can then be used, for example, to stop t”相关内容？",fact,fr3_operating_manual,16,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0016.png,fr3_operating_manual,15,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0015.png,adjacent_prev
auto_00027_same_doc_far,auto_00027,"Which page discusses 'can then be used, for example, to stop t'?","哪一页介绍了“can then be used, for example, to stop t”相关内容？",fact,fr3_operating_manual,16,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0016.png,fr3_operating_manual,121,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0121.png,same_doc_far
auto_00029_bm25,auto_00029,Which page visually presents 'Exiting the Assist Mode:'?,哪一页展示了“Exiting the Assist Mode:”的图示页面？,layout,fr3_operating_manual,27,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0027.png,fr3_product_manual,136,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0136.png,bm25_hard
auto_00029_adjacent_prev,auto_00029,Which page visually presents 'Exiting the Assist Mode:'?,哪一页展示了“Exiting the Assist Mode:”的图示页面？,layout,fr3_operating_manual,27,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0027.png,fr3_operating_manual,26,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0026.png,adjacent_prev
auto_00029_same_doc_far,auto_00029,Which page visually presents 'Exiting the Assist Mode:'?,哪一页展示了“Exiting the Assist Mode:”的图示页面？,layout,fr3_operating_manual,27,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0027.png,fr3_operating_manual,121,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0121.png,same_doc_far
auto_00036_bm25,auto_00036,Which page visually presents 'Guiding Mode'?,哪一页展示了“Guiding Mode”的图示页面？,layout,fr3_operating_manual,33,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0033.png,fr3_product_manual,147,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0147.png,bm25_hard
auto_00036_adjacent_prev,auto_00036,Which page visually presents 'Guiding Mode'?,哪一页展示了“Guiding Mode”的图示页面？,layout,fr3_operating_manual,33,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0033.png,fr3_operating_manual,32,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0032.png,adjacent_prev
auto_00036_same_doc_far,auto_00036,Which page visually presents 'Guiding Mode'?,哪一页展示了“Guiding Mode”的图示页面？,layout,fr3_operating_manual,33,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0033.png,fr3_operating_manual,121,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0121.png,same_doc_far
auto_00041_bm25,auto_00041,Which page contains the specification value 1 s?,哪一页包含参数值 1 s？,fact,fr3_operating_manual,37,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0037.png,kinova_gen3_user_guide,147,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0147.png,bm25_hard
auto_00041_adjacent_prev,auto_00041,Which page contains the specification value 1 s?,哪一页包含参数值 1 s？,fact,fr3_operating_manual,37,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0037.png,fr3_operating_manual,36,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0036.png,adjacent_prev
auto_00041_same_doc_far,auto_00041,Which page contains the specification value 1 s?,哪一页包含参数值 1 s？,fact,fr3_operating_manual,37,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0037.png,fr3_operating_manual,121,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0121.png,same_doc_far
auto_00060_bm25,auto_00060,Which page discusses 'MANAGINGFRANKARESEARCH 3'?,哪一页介绍了“MANAGINGFRANKARESEARCH 3”相关内容？,fact,fr3_operating_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0051.png,kinova_gen3_user_guide,158,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0158.png,bm25_hard
auto_00060_adjacent_prev,auto_00060,Which page discusses 'MANAGINGFRANKARESEARCH 3'?,哪一页介绍了“MANAGINGFRANKARESEARCH 3”相关内容？,fact,fr3_operating_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0051.png,fr3_operating_manual,50,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0050.png,adjacent_prev
auto_00060_same_doc_far,auto_00060,Which page discusses 'MANAGINGFRANKARESEARCH 3'?,哪一页介绍了“MANAGINGFRANKARESEARCH 3”相关内容？,fact,fr3_operating_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0051.png,fr3_operating_manual,121,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0121.png,same_doc_far
auto_00066_bm25,auto_00066,Which page visually presents '9.1.10'?,哪一页展示了“9.1.10”的图示页面？,layout,fr3_operating_manual,61,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0061.png,robotiq_2f_manual,102,/users/xyk/robotdoc-rag/data/pages/robotiq_2f_manual/page_0102.png,bm25_hard
auto_00066_adjacent_prev,auto_00066,Which page visually presents '9.1.10'?,哪一页展示了“9.1.10”的图示页面？,layout,fr3_operating_manual,61,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0061.png,fr3_operating_manual,60,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0060.png,adjacent_prev
auto_00066_same_doc_far,auto_00066,Which page visually presents '9.1.10'?,哪一页展示了“9.1.10”的图示页面？,layout,fr3_operating_manual,61,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0061.png,fr3_operating_manual,0,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0000.png,same_doc_far
auto_00069_bm25,auto_00069,Which page discusses 'Estimation of externally applied torques'?,哪一页介绍了“Estimation of externally applied torques”相关内容？,fact,fr3_operating_manual,62,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0062.png,fr3_product_manual,153,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0153.png,bm25_hard
auto_00069_adjacent_prev,auto_00069,Which page discusses 'Estimation of externally applied torques'?,哪一页介绍了“Estimation of externally applied torques”相关内容？,fact,fr3_operating_manual,62,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0062.png,fr3_operating_manual,61,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0061.png,adjacent_prev
auto_00069_same_doc_far,auto_00069,Which page discusses 'Estimation of externally applied torques'?,哪一页介绍了“Estimation of externally applied torques”相关内容？,fact,fr3_operating_manual,62,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0062.png,fr3_operating_manual,0,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0000.png,same_doc_far
auto_00072_bm25,auto_00072,Which page discusses '10.3.3'?,哪一页介绍了“10.3.3”相关内容？,fact,fr3_operating_manual,67,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0067.png,kinova_gen3_user_guide,157,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0157.png,bm25_hard
auto_00072_adjacent_prev,auto_00072,Which page discusses '10.3.3'?,哪一页介绍了“10.3.3”相关内容？,fact,fr3_operating_manual,67,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0067.png,fr3_operating_manual,66,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0066.png,adjacent_prev
auto_00072_same_doc_far,auto_00072,Which page discusses '10.3.3'?,哪一页介绍了“10.3.3”相关内容？,fact,fr3_operating_manual,67,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0067.png,fr3_operating_manual,0,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0000.png,same_doc_far
auto_00077_bm25,auto_00077,Which page discusses 'depend on previous operation and ambient'?,哪一页介绍了“depend on previous operation and ambient”相关内容？,fact,fr3_operating_manual,76,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0076.png,fr3_product_manual,28,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0028.png,bm25_hard
auto_00077_adjacent_prev,auto_00077,Which page discusses 'depend on previous operation and ambient'?,哪一页介绍了“depend on previous operation and ambient”相关内容？,fact,fr3_operating_manual,76,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0076.png,fr3_operating_manual,75,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0075.png,adjacent_prev
auto_00077_same_doc_far,auto_00077,Which page discusses 'depend on previous operation and ambient'?,哪一页介绍了“depend on previous operation and ambient”相关内容？,fact,fr3_operating_manual,76,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0076.png,fr3_operating_manual,0,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0000.png,same_doc_far
auto_00097_bm25,auto_00097,Which page visually presents 'Description: Free editable description o'?,哪一页展示了“Description: Free editable description o”的图示页面？,layout,fr3_operating_manual,92,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0092.png,fr3_product_manual,114,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0114.png,bm25_hard
