query_id,doc_id,page_idx,page_type,query_zh,query_en,query_source,anchor_heading,ocr_text_clean_len,page_score
auto_00001,fr3_datasheet,1,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,Datasheet' Franka Research 3,3484,21.7
auto_00002,fr3_datasheet,1,layout,哪一页包含 7 自由度相关尺寸图？,Which page contains the 7 DoF dimensions figure?,layout_7dof,Datasheet' Franka Research 3,3484,21.7
auto_00003,fr3_datasheet,1,layout,哪一页展示了“Datasheet' Franka Research 3”的图示页面？,Which page visually presents 'Datasheet' Franka Research 3'?,layout_heading,Datasheet' Franka Research 3,3484,21.7
auto_00004,fr3_datasheet,2,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,Datasheet' Franka Research 3,446,15.06
auto_00005,fr3_datasheet,2,layout,哪一页包含尺寸图或尺寸示意？,Which page contains the dimensions diagram?,layout_dimensions,Datasheet' Franka Research 3,446,15.06
auto_00006,fr3_datasheet,2,layout,哪一页展示了“Datasheet' Franka Research 3”的图示页面？,Which page visually presents 'Datasheet' Franka Research 3'?,layout_heading,Datasheet' Franka Research 3,446,15.06
auto_00007,fr3_operating_manual,0,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,FRANKA ROBOTICS,365,16.88
auto_00008,fr3_operating_manual,0,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,FRANKA ROBOTICS,365,16.88
auto_00009,fr3_operating_manual,2,semantic,哪一页介绍了组成部件相关内容？,Which page describes components related information?,semantic_keyword,TABLE OF CONTENTS,960,15.4
auto_00010,fr3_operating_manual,2,semantic,这页主要讲的是哪方面的组成部件内容？,What components topic is mainly explained on this page?,semantic_topic,TABLE OF CONTENTS,960,15.4
auto_00011,fr3_operating_manual,6,semantic,哪一页介绍了安装说明相关内容？,Which page describes installation related information?,semantic_keyword,ABOUT THIS MANUAL,958,17.12
auto_00012,fr3_operating_manual,6,semantic,这页主要讲的是哪方面的安装说明内容？,What installation topic is mainly explained on this page?,semantic_topic,ABOUT THIS MANUAL,958,17.12
auto_00013,fr3_operating_manual,8,semantic,哪一页介绍了安装说明相关内容？,Which page describes installation related information?,semantic_keyword,GETTING STARTED,1675,17.599999999999998
auto_00014,fr3_operating_manual,8,semantic,这页主要讲的是哪方面的安装说明内容？,What installation topic is mainly explained on this page?,semantic_topic,GETTING STARTED,1675,17.599999999999998
auto_00015,fr3_operating_manual,9,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,GETTING STARTED,1564,16.4
auto_00016,fr3_operating_manual,9,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,GETTING STARTED,1564,16.4
auto_00017,fr3_operating_manual,9,fact,哪一页介绍了“GETTING STARTED”相关内容？,Which page discusses 'GETTING STARTED'?,fact_heading,GETTING STARTED,1564,16.4
auto_00018,fr3_operating_manual,12,semantic,哪一页介绍了安装说明相关内容？,Which page describes installation related information?,semantic_keyword,GETTING STARTED,2034,16.4
auto_00019,fr3_operating_manual,12,semantic,这页主要讲的是哪方面的安装说明内容？,What installation topic is mainly explained on this page?,semantic_topic,GETTING STARTED,2034,16.4
auto_00020,fr3_operating_manual,13,semantic,哪一页介绍了安装说明相关内容？,Which page describes installation related information?,semantic_keyword,GETTING STARTED,1034,16.24
auto_00021,fr3_operating_manual,13,semantic,这页主要讲的是哪方面的安装说明内容？,What installation topic is mainly explained on this page?,semantic_topic,GETTING STARTED,1034,16.24
auto_00022,fr3_operating_manual,15,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,5 WORKING WITH FRANKA RESEARCH 3,3430,16.56
auto_00023,fr3_operating_manual,15,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,5 WORKING WITH FRANKA RESEARCH 3,3430,16.56
