query_id,query_en,query_zh,query_type,pos_doc_id,pos_page_idx,neg_doc_id,neg_page_idx,neg_source,neg_score
auto_00024,Which page discusses '5 WORKING WITH FRANKA RESEARCH 3'?,哪一页介绍了“5 WORKING WITH FRANKA RESEARCH 3”相关内容？,fact,fr3_operating_manual,15,fr3_product_manual,4,vision_hard,18.25
auto_00027,"Which page discusses 'can then be used, for example, to stop t'?","哪一页介绍了“can then be used, for example, to stop t”相关内容？",fact,fr3_operating_manual,16,ur5e_user_manual,136,vision_hard,13.8125
auto_00029,Which page visually presents 'Exiting the Assist Mode:'?,哪一页展示了“Exiting the Assist Mode:”的图示页面？,layout,fr3_operating_manual,27,fr3_product_manual,136,vision_hard,15.625
auto_00036,Which page visually presents 'Guiding Mode'?,哪一页展示了“Guiding Mode”的图示页面？,layout,fr3_operating_manual,33,fr3_product_manual,140,vision_hard,14.75
auto_00041,Which page contains the specification value 1 s?,哪一页包含参数值 1 s？,fact,fr3_operating_manual,37,robotiq_hande_manual,4,vision_hard,10.5
auto_00060,Which page discusses 'MANAGINGFRANKARESEARCH 3'?,哪一页介绍了“MANAGINGFRANKARESEARCH 3”相关内容？,fact,fr3_operating_manual,51,fr3_product_manual,164,vision_hard,15.0
auto_00066,Which page visually presents '9.1.10'?,哪一页展示了“9.1.10”的图示页面？,layout,fr3_operating_manual,61,intel_realsense_d400_datasheet,4,vision_hard,13.0625
auto_00069,Which page discusses 'Estimation of externally applied torques'?,哪一页介绍了“Estimation of externally applied torques”相关内容？,fact,fr3_operating_manual,62,fr3_product_manual,153,vision_hard,12.6875
auto_00072,Which page discusses '10.3.3'?,哪一页介绍了“10.3.3”相关内容？,fact,fr3_operating_manual,67,fr3_product_manual,3,vision_hard,14.125
auto_00077,Which page discusses 'depend on previous operation and ambient'?,哪一页介绍了“depend on previous operation and ambient”相关内容？,fact,fr3_operating_manual,76,fr3_product_manual,28,vision_hard,11.625
auto_00097,Which page visually presents 'Description: Free editable description o'?,哪一页展示了“Description: Free editable description o”的图示页面？,layout,fr3_operating_manual,92,fr3_product_manual,114,vision_hard,13.3125
auto_00104,Which page visually presents 'now displayed in green and shows the val'?,哪一页展示了“now displayed in green and shows the val”的图示页面？,layout,fr3_operating_manual,102,fr3_product_manual,123,vision_hard,11.625
