query_id,query_zh,query_en,query_type,gold_doc_id,gold_page_idx,top1_doc_id,top1_page_idx,top1_score,top1_doc_hit,top1_exact_hit,top5_doc_hit,top5_exact_hit,retrieved_doc_ids,retrieved_page_idxs,retrieved_scores
q001,FR3的最大工作半径是多少,maximum reach 855 mm,fact,fr3_datasheet,1,kinova_gen3_user_guide,66,11.875,False,False,True,True,"[""kinova_gen3_user_guide"", ""fr3_product_manual"", ""fr3_datasheet"", ""ur5e_user_manual"", ""ur5e_user_manual""]","[66, 51, 1, 95, 221]","[11.875, 10.0, 9.6875, 8.5625, 6.15625]"
q002,FR3的额定负载是多少,rated payload 3kg,fact,fr3_datasheet,1,ur5e_user_manual,95,10.3125,False,False,True,True,"[""ur5e_user_manual"", ""fr3_datasheet"", ""ur5e_user_manual"", ""ur5e_user_manual"", ""kinova_gen3_user_guide""]","[95, 1, 221, 7, 18]","[10.3125, 8.5, 6.375, 5.28125, 4.21875]"
q003,FR3有几个自由度,degrees of freedom 7,fact,fr3_datasheet,1,kinova_gen3_user_guide,18,10.375,False,False,True,True,"[""kinova_gen3_user_guide"", ""fr3_datasheet"", ""kinova_gen3_user_guide"", ""ur5e_user_manual"", ""ur5e_user_manual""]","[18, 1, 66, 221, 95]","[10.375, 10.0625, 7.375, 5.84375, 5.40625]"
q004,FR3是否支持力/力矩感知,force torque sensing,fact,fr3_datasheet,1,fr3_datasheet,1,5.625,True,True,True,True,"[""fr3_datasheet"", ""ur5e_user_manual"", ""kinova_gen3_user_guide"", ""kinova_gen3_user_guide"", ""ur5e_user_manual""]","[1, 221, 66, 18, 95]","[5.625, 5.5, 4.90625, 4.71875, 4.65625]"
q005,FR3工作空间示意图在哪一页,workspace diagram,layout,fr3_product_manual,51,kinova_gen3_user_guide,66,6.6875,False,False,True,True,"[""kinova_gen3_user_guide"", ""fr3_product_manual"", ""fr3_datasheet"", ""kinova_gen3_user_guide"", ""ur5e_user_manual""]","[66, 51, 1, 18, 221]","[6.6875, 4.875, 4.15625, 4.125, 3.96875]"
q006,UR5e最大负载相关页面,maximum payload,semantic,ur5e_user_manual,95,ur5e_user_manual,95,9.0,True,True,True,True,"[""ur5e_user_manual"", ""ur5e_user_manual"", ""fr3_datasheet"", ""ur5e_user_manual"", ""fr3_product_manual""]","[95, 221, 1, 7, 51]","[9.0, 6.8125, 6.53125, 4.21875, 3.796875]"
q007,UR5e紧急停止目录定位页,emergency stop,navigation,ur5e_user_manual,7,ur5e_user_manual,7,8.75,True,True,True,True,"[""ur5e_user_manual"", ""fr3_datasheet"", ""ur5e_user_manual"", ""kinova_gen3_user_guide"", ""fr3_product_manual""]","[7, 1, 221, 66, 51]","[8.75, 7.21875, 4.71875, 3.578125, 3.578125]"
q008,UR5e合格声明页面,declaration of incorporation,navigation,ur5e_user_manual,221,ur5e_user_manual,221,9.9375,True,True,True,True,"[""ur5e_user_manual"", ""ur5e_user_manual"", ""fr3_datasheet"", ""kinova_gen3_user_guide"", ""kinova_gen3_user_guide""]","[221, 7, 1, 18, 66]","[9.9375, 9.875, 5.25, 4.8125, 4.34375]"
q009,Kinova Gen3七自由度尺寸图页面,7 dof dimensions,layout,kinova_gen3_user_guide,66,kinova_gen3_user_guide,18,8.375,True,False,True,True,"[""kinova_gen3_user_guide"", ""kinova_gen3_user_guide"", ""fr3_datasheet"", ""fr3_product_manual"", ""ur5e_user_manual""]","[18, 66, 1, 51, 221]","[8.375, 7.46875, 6.4375, 5.375, 4.71875]"
q010,Kinova机器人组成介绍页面,robot components,semantic,kinova_gen3_user_guide,18,kinova_gen3_user_guide,18,8.4375,True,True,True,True,"[""kinova_gen3_user_guide"", ""kinova_gen3_user_guide"", ""fr3_product_manual"", ""ur5e_user_manual"", ""fr3_datasheet""]","[18, 66, 51, 7, 1]","[8.4375, 8.1875, 7.78125, 6.375, 6.3125]"
